episode,step,ep_reward,ep_length,ep_v,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_reward_100,mean_length_100,mean_v_100,x_pos,coins,score,flag_get
89,40960,362.58,301,-1.1603,-0.00052,1.481549,1.66665,0.004437,0.0461,470.84,437.0,-1.0994,1130,1,400,0
90,40960,352.31,189,-1.3131,-0.00052,1.481549,1.66665,0.004437,0.0461,469.53,434.2,-1.1017,690,2,500,0
91,40960,377.25,214,-1.3268,-0.00052,1.481549,1.66665,0.004437,0.0461,468.53,431.8,-1.1042,1503,0,200,0
92,40960,555.83,339,-1.3472,-0.00052,1.481549,1.66665,0.004437,0.0461,469.47,430.8,-1.1068,1127,0,400,0
93,43008,662.51,511,-1.4686,-0.004201,2.435399,1.57055,0.005626,0.0632,471.52,431.7,-1.1106,1661,1,700,0
94,43008,264.79,144,-1.6778,-0.004201,2.435399,1.57055,0.005626,0.0632,469.35,428.7,-1.1166,705,1,200,0
95,43008,759.26,614,-1.5598,-0.004201,2.435399,1.57055,0.005626,0.0632,472.37,430.6,-1.1212,1428,2,900,0
96,43008,728.61,503,-1.6045,-0.004201,2.435399,1.57055,0.005626,0.0632,475.01,431.3,-1.1262,1422,3,800,0
97,43008,653.86,456,-1.6613,-0.004201,2.435399,1.57055,0.005626,0.0632,476.83,431.6,-1.1317,1514,0,500,0
98,45056,381.72,296,-1.7351,-0.003729,2.644432,1.513579,0.009407,0.0771,475.87,430.2,-1.1378,841,0,200,0
99,45056,453.15,317,-1.752,-0.003729,2.644432,1.513579,0.009407,0.0771,475.64,429.1,-1.1439,1129,2,600,0
100,45056,543.5,293,-1.7322,-0.003729,2.644432,1.513579,0.009407,0.0771,478.09,427.7,-1.1669,1127,1,300,0
101,45056,398.42,289,-1.7484,-0.003729,2.644432,1.513579,0.009407,0.0771,478.64,422.6,-1.1867,898,0,0,0
102,45056,287.23,190,-1.7878,-0.003729,2.644432,1.513579,0.009407,0.0771,478.57,419.3,-1.2007,823,3,800,0
103,45056,263.07,164,-1.7551,-0.003729,2.644432,1.513579,0.009407,0.0771,477.75,410.3,-1.218,692,1,200,0
104,45056,475.68,305,-1.7919,-0.003729,2.644432,1.513579,0.009407,0.0771,478.17,397.6,-1.2346,1127,2,700,0
105,45056,546.08,303,-1.7724,-0.003729,2.644432,1.513579,0.009407,0.0771,478.55,394.9,-1.2504,1524,1,300,0
106,47104,513.9,286,-1.7877,0.002491,3.005186,1.49579,0.005461,0.0378,479.12,390.0,-1.2654,1434,1,500,0
107,47104,560.34,337,-1.8995,0.002491,3.005186,1.49579,0.005461,0.0378,480.2,381.9,-1.2805,1236,2,700,0
108,47104,458.83,270,-1.9332,0.002491,3.005186,1.49579,0.005461,0.0378,479.87,380.5,-1.296,1124,0,200,0
109,47104,586.23,395,-1.9105,0.002491,3.005186,1.49579,0.005461,0.0378,480.74,378.2,-1.3099,1127,0,300,0
110,47104,821.17,559,-1.8966,0.002491,3.005186,1.49579,0.005461,0.0378,485.39,380.4,-1.3222,1240,0,500,0
111,49152,266.29,155,-1.887,0.001495,2.671535,1.491546,0.004683,0.0247,484.39,379.5,-1.3342,710,3,600,0
112,49152,370.31,293,-1.9167,0.001495,2.671535,1.491546,0.004683,0.0247,481.22,373.6,-1.3472,1516,0,400,0
113,49152,589.01,387,-1.8351,0.001495,2.671535,1.491546,0.004683,0.0247,482.09,372.2,-1.3575,1433,0,700,0
114,49152,381.42,227,-1.6784,0.001495,2.671535,1.491546,0.004683,0.0247,480.55,369.1,-1.3665,1507,0,0,0
115,49152,663.25,479,-1.8189,0.001495,2.671535,1.491546,0.004683,0.0247,482.3,370.4,-1.3764,1404,0,300,0
116,49152,499.42,383,-1.7238,0.001495,2.671535,1.491546,0.004683,0.0247,484.69,372.3,-1.3858,867,3,800,0
117,49152,442.32,248,-1.6868,0.001495,2.671535,1.491546,0.004683,0.0247,485.91,371.5,-1.3919,707,0,100,0
118,49152,412.34,249,-1.6965,0.001495,2.671535,1.491546,0.004683,0.0247,482.66,362.2,-1.3991,1514,1,300,0
119,51200,524.92,292,-1.7521,0.000407,3.268637,1.480544,0.008295,0.0901,483.29,359.9,-1.4059,1433,1,500,0
120,51200,386.29,250,-1.8945,0.000407,3.268637,1.480544,0.008295,0.0901,480.6,355.3,-1.4143,899,1,300,0
121,51200,443.14,268,-1.9539,0.000407,3.268637,1.480544,0.008295,0.0901,480.96,354.9,-1.4241,714,1,200,0
122,51200,660.31,485,-1.9388,0.000407,3.268637,1.480544,0.008295,0.0901,483.04,355.8,-1.434,1525,0,700,0
123,51200,451.42,275,-1.9791,0.000407,3.268637,1.480544,0.008295,0.0901,483.48,355.2,-1.4457,1130,1,200,0
124,51200,694.76,410,-1.9856,0.000407,3.268637,1.480544,0.008295,0.0901,485.43,355.4,-1.4582,1954,1,700,0
125,53248,344.95,188,-1.9648,-0.002161,2.908183,1.492069,0.008802,0.0991,484.27,354.4,-1.4714,690,0,200,0
126,53248,428.98,232,-1.953,-0.002161,2.908183,1.492069,0.008802,0.0991,484.81,353.5,-1.4841,686,0,100,0
127,53248,501.45,469,-2.0094,-0.002161,2.908183,1.492069,0.008802,0.0991,484.48,354.2,-1.4956,1134,1,400,0
128,53248,472.56,288,-1.9678,-0.002161,2.908183,1.492069,0.008802,0.0991,483.53,353.4,-1.5026,842,2,700,0
